#BACKUP DATA
#CDS.TXT
#
DMB | 2007 Summer Tour Sampler | 1 | USA | Opened | 2007 | n/a | Bonus Disc | 8 tracks (Yellow) Warehouse Edition
DMB | 2007 Summer Tour Sampler | 1 | USA | Opened | 2007 | n/a | Bonus Disc | 4 tracks (Blue) Warehouse Edition
DMB | 2012 Summer Tour Sampler | 1 | USA | Sealed | 2012 | n/a | Bonus Disc | 5 tracks (orange) Musictoday Edition
DMB | 2012 Summer Tour Sampler | 1 | USA | Sealed | 2012 | n/a | Bonus Disc | 8 tracks (blue) Warehouse Edition
DMB | A Limited Edition Companion to Stand Up | 1 | USA | Opened | 2005 | n/a | Bonus Disc | 5 tracks (Red) MusicToday Edition
DMB | A Limited Edition Companion to Stand Up | 1 | USA | Opened | 2005 | n/a | Bonus Disc | 8 tracks (Blue) Warehouse Edition
DMB | Away From The World | 1 | USA | Sealed | 2012 | 88725435273 | Studio | 	
DMB | Away From The World | 2 | EU | Sealed | 2013 | 5050954298720 | Studio | Record Store Day Release
DMB | Away From The World | 2 | EU | Opened | 2013 | 5050954298720 | Studio | Record Store Day Release
DMB | Away From The World | 2 | USA | Sealed | 2012 | 88725452721 | Studio | Deluxe Edition
DMB | Away From The World | 2 | Canada | Sealed | 2012 | 88725452721 | Studio | Deluxe Edition
DMB | Before These Crowded Streets | 1 | USA | Sealed | 1998 | 078636766027 | Studio | 	
DMB | Before These Crowded Streets | 1 | USA | Opened | 1998 | 078636766027 | Studio | 	
DMB | Before These Crowded Streets | 1 | Australia | Opened | 1998 | 078636776027 | Studio | 
DMB | Before These Crowded Streets | 1 | Japan | Sealed | 1998 | BVCP6127 | Studio | 
DMB | Big Apple Bonus Disc | 1 | USA | Opened | 2010 | n/a | Bonus Disc | MusicToday Edition 4 tracks
DMB | Big Apple Bonus Disc | 1 | USA | Opened | 2010 | n/a | Bonus Disc | Warehouse Edition 8 tracks
DMB | Big Whiskey and the Groogrux King	 | 2 | USA | Opened | 2009 | 886975092727 | Studio | Deluxe Edition
DMB | Big Whiskey and the Groogrux King	 | 2 | USA | Sealed | 2009 | 886975092727 | Studio | Deluxe Edition
DMB | Big Whiskey and the Groogrux King	 | 1 | EU | Sealed | 2009 | 5051865487425 | Studio | 
DMB | Big Whiskey and the Groogrux King	 | 1 | USA | Opened | 2009 | 886974871224 | Studio | 
DMB | Big Whiskey and the Groogrux King	 | 1 | USA | Sealed | 2009 | 886974871224 | Studio | 
DMB | Big Whiskey and the Groogrux King	 | 1 | S America | Opened | 2009 | 5051865487425 | Studio | IFPI Seal on front
DMB | Big Whiskey and the Groogrux King	 | 1 | S America | Opened | 2009 | 5051865487425 | Studio | IFPI Seal on front
DMB | Big Whiskey and the Groogrux King	 | 1 | Taiwan | Sealed | 2009 | 5051865487425 | Studio | OBI
DMB | Big Whiskey and the Groogrux King	 | 3 | USA | Opened | 2009 | 886975092925 | Studio | Super Deluxe Edition
DMB | Big Whiskey and the Groogrux King	 | 3 | USA | Sealed | 2009 | 886975092925 | Studio | Super Deluxe Edition
DMB | Busted Stuff | 2 | USA | Opened | 2002 | 078636811727 | Studio | 	
DMB | Busted Stuff | 2 | USA | Sealed | 2002 | 078636811727 | Studio | 	
DMB | Busted Stuff | 2 | USA | Sealed | 2002 | 078636811727 | Studio | 	
Code Magenta | Code Magenta | 1 | USA | Opened | 1995 | 786975955124 | Studio | 	
DMB | Crash | 1 | USA | Opened | 1996 | D112604 | Studio | BMG Direct Marketing Version
DMB | Crash | 1 | Japan | Opened | 1996 | 07863669042 | Studio | BVCP940
DMB | Crash | 1 | Japan | Opened | 1996 | 07863669042 | Studio | BVCP940
DMB | Crash | 1 | USA | Opened | 1996 | 078636690421 | Studio | 
DMB | Crash | 1 | USA | Sealed | 1996 | 078636690421 | Studio | 
DMB | Crash | 1 | S America | Sealed | 1996 | 078636690421 | Studio | 
DMB | Encore Trax: JPJ Extended | 1 | USA | Sealed | 2013 | n/a | Bonus Disc | Live Trax 28 Bonus
DMB | Encore Trax: JPJ Extended | 1 | USA | Sealed | 2013 | n/a | Bonus Disc | Live Trax 28 Bonus
DMB | Everyday | 1 | EU | Opened | 2001 | 078636798820 | Studio | 
DMB | Everyday | 1 | S America | Sealed | 2001 | 078636798820 | Studio | 
DMB | Everyday | 1 | Japan | Sealed | 2001 | BVCP21140 | Studio	 | 
DMB | Everyday | 1 | Canada | Sealed | 2001 | 078636798820 | Studio | 	
DMB | Everyday | 2 | Australia | Opened | 2001 | 0743219076526 | Studio | Special Edition Release
DMB | Everyday | 2 | Australia | Sealed | 2001 | 0743219076526 | Studio | Special Edition Release
DMB | Greetings From Bader Field | 1 | USA | Sealed | 2011 | n/a | Bonus Disc | Warehouse Edition 8 track
DMB | Greetings From Bader Field | 1 | USA | Sealed | 2011 | n/a | Bonus Disc | Musictoday Edition 5 track
Tribe Of Heaven | Imagine We Were | 1 | USA | Sealed | 2005 | 783707043500 | Studio | 	
TR3 | Light Up Ahead | 1 | USA | Opened | 1995 | TR3001 | Studio | Independent Release
DMB | Live At… Central Park Concert Bonus Disc | 1 | USA | Opened  | 2003 | n/a | Bonus Disc | Warehouse bonus disc
DMB | Recently | 1 | USA | Opened | 1993 | BAMA002 | Studio | NO UPC Pumpkin Cover
