#BACKUP DATA
#CDS.TXT
#
DMB | 2007 SUMMER TOUR SAMPLER | 1 | USA | OPENED | 2007 | N/A | BONUS DISC | 8 TRACKS (YELLOW) WAREHOUSE EDITION
DMB | 2007 SUMMER TOUR SAMPLER | 1 | USA | OPENED | 2007 | N/A | BONUS DISC | 4 TRACKS (BLUE) WAREHOUSE EDITION
DMB | 2012 SUMMER TOUR SAMPLER | 1 | USA | SEALED | 2012 | N/A | BONUS DISC | 5 TRACKS (ORANGE) MUSICTODAY EDITION
DMB | 2012 SUMMER TOUR SAMPLER | 1 | USA | SEALED | 2012 | N/A | BONUS DISC | 8 TRACKS (BLUE) WAREHOUSE EDITION
DMB | A LIMITED EDITION COMPANION TO STAND UP | 1 | USA | OPENED | 2005 | N/A | BONUS DISC | 5 TRACKS (RED) MUSICTODAY EDITION
DMB | A LIMITED EDITION COMPANION TO STAND UP | 1 | USA | OPENED | 2005 | N/A | BONUS DISC | 8 TRACKS (BLUE) WAREHOUSE EDITION
DMB | AWAY FROM THE WORLD | 1 | USA | SEALED | 2012 | 88725435273 | STUDIO | 	
DMB | AWAY FROM THE WORLD | 2 | EU | SEALED | 2013 | 5050954298720 | STUDIO | RECORD STORE DAY RELEASE
DMB | AWAY FROM THE WORLD | 2 | EU | OPENED | 2013 | 5050954298720 | STUDIO | RECORD STORE DAY RELEASE
DMB | AWAY FROM THE WORLD | 2 | USA | SEALED | 2012 | 88725452721 | STUDIO | DELUXE EDITION
DMB | AWAY FROM THE WORLD | 2 | CANADA | SEALED | 2012 | 88725452721 | STUDIO | DELUXE EDITION
DMB | BEFORE THESE CROWDED STREETS | 1 | USA | SEALED | 1998 | 078636766027 | STUDIO | 	
DMB | BEFORE THESE CROWDED STREETS | 1 | USA | OPENED | 1998 | 078636766027 | STUDIO | 	
DMB | BEFORE THESE CROWDED STREETS | 1 | AUSTRALIA | OPENED | 1998 | 078636776027 | STUDIO | 
DMB | BEFORE THESE CROWDED STREETS | 1 | JAPAN | SEALED | 1998 | BVCP6127 | STUDIO | 
DMB | BIG APPLE BONUS DISC | 1 | USA | OPENED | 2010 | N/A | BONUS DISC | MUSICTODAY EDITION 4 TRACKS
DMB | BIG APPLE BONUS DISC | 1 | USA | OPENED | 2010 | N/A | BONUS DISC | WAREHOUSE EDITION 8 TRACKS
DMB | BIG WHISKEY AND THE GROOGRUX KING	 | 2 | USA | OPENED | 2009 | 886975092727 | STUDIO | DELUXE EDITION
DMB | BIG WHISKEY AND THE GROOGRUX KING	 | 2 | USA | SEALED | 2009 | 886975092727 | STUDIO | DELUXE EDITION
DMB | BIG WHISKEY AND THE GROOGRUX KING	 | 1 | EU | SEALED | 2009 | 5051865487425 | STUDIO | 
DMB | BIG WHISKEY AND THE GROOGRUX KING	 | 1 | USA | OPENED | 2009 | 886974871224 | STUDIO | 
DMB | BIG WHISKEY AND THE GROOGRUX KING	 | 1 | USA | SEALED | 2009 | 886974871224 | STUDIO | 
DMB | BIG WHISKEY AND THE GROOGRUX KING	 | 1 | S AMERICA | OPENED | 2009 | 5051865487425 | STUDIO | IFPI SEAL ON FRONT
DMB | BIG WHISKEY AND THE GROOGRUX KING	 | 1 | S AMERICA | OPENED | 2009 | 5051865487425 | STUDIO | IFPI SEAL ON FRONT
DMB | BIG WHISKEY AND THE GROOGRUX KING	 | 1 | TAIWAN | SEALED | 2009 | 5051865487425 | STUDIO | OBI
DMB | BIG WHISKEY AND THE GROOGRUX KING	 | 3 | USA | OPENED | 2009 | 886975092925 | STUDIO | SUPER DELUXE EDITION
DMB | BIG WHISKEY AND THE GROOGRUX KING	 | 3 | USA | SEALED | 2009 | 886975092925 | STUDIO | SUPER DELUXE EDITION
DMB | BUSTED STUFF | 2 | USA | OPENED | 2002 | 078636811727 | STUDIO | 	
DMB | BUSTED STUFF | 2 | USA | SEALED | 2002 | 078636811727 | STUDIO | 	
DMB | BUSTED STUFF | 2 | USA | SEALED | 2002 | 078636811727 | STUDIO | 	
CODE MAGENTA | CODE MAGENTA | 1 | USA | OPENED | 1995 | 786975955124 | STUDIO | 	
DMB | CRASH | 1 | USA | OPENED | 1996 | D112604 | STUDIO | BMG DIRECT MARKETING VERSION
DMB | CRASH | 1 | JAPAN | OPENED | 1996 | 07863669042 | STUDIO | BVCP940
DMB | CRASH | 1 | JAPAN | OPENED | 1996 | 07863669042 | STUDIO | BVCP940
DMB | CRASH | 1 | USA | OPENED | 1996 | 078636690421 | STUDIO | 
DMB | CRASH | 1 | USA | SEALED | 1996 | 078636690421 | STUDIO | 
DMB | CRASH | 1 | S AMERICA | SEALED | 1996 | 078636690421 | STUDIO | 
DMB | ENCORE TRAX: JPJ EXTENDED | 1 | USA | SEALED | 2013 | N/A | BONUS DISC | LIVE TRAX 28 BONUS
DMB | ENCORE TRAX: JPJ EXTENDED | 1 | USA | SEALED | 2013 | N/A | BONUS DISC | LIVE TRAX 28 BONUS
DMB | EVERYDAY | 1 | EU | OPENED | 2001 | 078636798820 | STUDIO | 
DMB | EVERYDAY | 1 | S AMERICA | SEALED | 2001 | 078636798820 | STUDIO | 
DMB | EVERYDAY | 1 | JAPAN | SEALED | 2001 | BVCP21140 | STUDIO	 | 
